,,s1,e1,s2,e2,s3,e3,s4,e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kkOfwgcYaZQ,http://youtube.com/watch?v=kkOfwgcYaZQ,https://youtu.be/kkOfwgcYaZQ?t=7,https://youtu.be/kkOfwgcYaZQ?t=236,,,,,,,2019-12-17T13:00:08Z,UCLn8FintdYEDCSK6HaX5Q4g,"""R-・・・・ｮ・ vs GIL""013 GRAND CHAMPIONSHIP 12/30(MON)00(SU",154213,1863,19,0,259,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g4K149_GAEg,http://youtube.com/watch?v=g4K149_GAEg,n,,,,,,,,2017-07-18T03:36:40Z,UCLn8FintdYEDCSK6HaX5Q4g,ULTIMATE MC BATTLE2017 THE CHOICE IS YOURS DVD Trailer,769893,4897,95,0,1283,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oUtOAxYwr5w,http://youtube.com/watch?v=oUtOAxYwr5w,n,,,,,,,,2018-06-19T14:00:11Z,UCLn8FintdYEDCSK6HaX5Q4g,ULTIMATE MC BATTLE2018 -THE CHOICE IS YOURS Vol.2- DVD Trailer,761402,4740,98,0,1476,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5kVFR1bw3o,http://youtube.com/watch?v=N5kVFR1bw3o,https://youtu.be/N5kVFR1bw3o?t=24,https://youtu.be/N5kVFR1bw3o?t=195,,,,,,,2020-02-14T08:00:02Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｵ・・・・・・・・・ vs BASE""ｧ・・ｪ・ｺ・・・ｸ 11/4(SAT)  Trailerr3",35724,568,7,0,139,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J3thjOAhX0w,http://youtube.com/watch?v=J3thjOAhX0w,https://youtu.be/J3thjOAhX0w?t=115,https://youtu.be/J3thjOAhX0w?t=287,,,,,,,2020-01-24T09:00:04Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・･・ｽ､ vs MOL53""ULL HD ULTIMATE MC BATTLE2017 THE CHOICE IS YOURS 3/27(MON))))",170677,2939,27,0,482,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wde57dE3TYs,http://youtube.com/watch?v=Wde57dE3TYs,https://youtu.be/Wde57dE3TYs?t=25,https://youtu.be/Wde57dE3TYs?t=191,,,,,,,2020-02-04T08:00:05Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・ｸ・・・ｫ・・ｫ・・・ vs BASE""・・･・ｺ・・・ｸ 10/22(SUN)CCE IS YOURS",56578,831,13,0,142,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UgVEJuHkqu8,http://youtube.com/watch?v=UgVEJuHkqu8,https://youtu.be/UgVEJuHkqu8?t=17,https://youtu.be/UgVEJuHkqu8?t=188,,,,,,,2019-12-09T07:21:16Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｵ・・・・・・・・・ vs KZ""ｧ・・ｪ・ｺ・・・ｸ 8/4(SAT))2(SUN)CCE ",57980,884,12,0,200,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dYRHFtUJpWE,http://youtube.com/watch?v=dYRHFtUJpWE,https://youtu.be/dYRHFtUJpWE?t=91,https://youtu.be/dYRHFtUJpWE?t=239,,,,,,,2020-05-05T09:00:28Z,UCLn8FintdYEDCSK6HaX5Q4g,"""R-・・・・ｮ・ vs ・・・・ｸ・・・ｫ・・ｫ・・・""GRAND CHAMPIONSHIP 12/30(TUE)OON)))))",834410,9282,168,0,3313,"2020/07/09 20:24
mdHVDd5mKBA",http://youtube.com/watch?v=mdHVDd5mKBA,https://youtu.be/mdHVDd5mKBA?t=109,https://youtu.be/mdHVDd5mKBA?t=282,,,,,,,2019-12-25T09:00:05Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｮ・ｺｧDOPENESS vs NONKEY""B 2009 GRAND CHAMPIONSHIP 12/26(SAT)22/",236418,2299,51,0,547,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6xaEy2xBD50,http://youtube.com/watch?v=6xaEy2xBD50,https://youtu.be/6xaEy2xBD50?t=101,https://youtu.be/6xaEy2xBD50?t=292,,,,,,,2019-12-17T13:00:01Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・・､・・ｱ・・ｳ vs R-・・・・ｮ・""ｪ・ｺ・・・ｸ 6/29 (Sat))6(SAT)22/30(T",55014,673,5,0,118,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f4fhgOkLyQ,http://youtube.com/watch?v=4f4fhgOkLyQ,https://youtu.be/4f4fhgOkLyQ?t=22,https://youtu.be/4f4fhgOkLyQ?t=185,,,,,,,2019-12-27T08:00:01Z,UCLn8FintdYEDCSK6HaX5Q4g,"""DOTAMA  vs CHICO CARLITO"" UMB2015 GRAND CHAMPIONSHIP 12/30(WED)",74292,843,12,0,357,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
