"umRxCqH9j2w","http://youtube.com/watch?v=umRxCqH9j2w","2020-02-02T04:16:42Z","UCe_EvY8GrvYgx8PbwRBc75g","Amateras.vs.がーどまん.凱旋MCbattle東西選抜冬ノ陣2020.1回戦","514433","8287","138","0","1783","2020-07-09 20:41:45"
"TXd1dmww61Q","http://youtube.com/watch?v=TXd1dmww61Q","2019-11-22T07:19:08Z","UCe_EvY8GrvYgx8PbwRBc75g","SAM.vs.KBD.凱旋MCbattle東西選抜秋ノ陣2019シード戦","396814","4962","66","0","118","2020-07-09 20:41:45"
"bCFSkv6DVJc","http://youtube.com/watch?v=bCFSkv6DVJc","2019-09-12T07:07:53Z","UCe_EvY8GrvYgx8PbwRBc75g","Authority.vs.呂布カルマ.凱旋MCbattle東西選抜夏ノ陣2019.ベスト8","1234785","13895","187","0","1741","2020-07-09 20:41:45"
"ozQAklpOTcY","http://youtube.com/watch?v=ozQAklpOTcY","2020-01-16T10:24:22Z","UCe_EvY8GrvYgx8PbwRBc75g","ミメイvsScoobyJ.凱旋MCbattle×COREfestival","622213","11344","112","0","1389","2020-07-09 20:41:45"
"wp_OeZbTp4o","http://youtube.com/watch?v=wp_OeZbTp4o","2019-12-06T07:18:52Z","UCe_EvY8GrvYgx8PbwRBc75g","SAM×韻マン×晋平太vs呂布カルマ×BASE×K.Lee.凱旋MCbattle東西選抜秋ノ陣2019決勝戦","780711","8915","111","0","1191","2020-07-09 20:41:45"
"nC8eRRbqxjk","http://youtube.com/watch?v=nC8eRRbqxjk","2020-01-17T13:55:50Z","UCe_EvY8GrvYgx8PbwRBc75g","韻マンvsU-mallow. 凱旋MCbattle×COREfestival","806549","11771","111","0","1387","2020-07-09 20:41:45"
"sbMPv3kSMM8","http://youtube.com/watch?v=sbMPv3kSMM8","2019-12-07T12:16:03Z","UCe_EvY8GrvYgx8PbwRBc75g","SAM×韻マンvsBASE×K.Lee.凱旋MCbattle東西選抜秋ノ陣2019決勝戦","743908","7579","104","0","1013","2020-07-09 20:41:45"
"FbBeGRGGNmI","http://youtube.com/watch?v=FbBeGRGGNmI","2019-11-01T09:25:42Z","UCe_EvY8GrvYgx8PbwRBc75g","SAM.韻マン.晋平太vsじょう.DOPEMAN.SHOICHIRO.凱旋MCbattle東西選抜秋ノ陣2019","2816781","25450","327","0","3517","2020-07-09 20:41:45"
"R58uXHNRFOc","http://youtube.com/watch?v=R58uXHNRFOc","2019-11-21T07:24:43Z","UCe_EvY8GrvYgx8PbwRBc75g","SAM×晋平太vsふぁんく×KZ.凱旋MCbattle東西選抜秋ノ陣2019シード戦","316990","3759","58","0","165","2020-07-09 20:41:45"
"nRjsTt4Kymg","http://youtube.com/watch?v=nRjsTt4Kymg","2019-11-15T15:15:38Z","UCe_EvY8GrvYgx8PbwRBc75g","BASE×K.Lee×呂布カルマvsTERU×ScoobyJ×IM.凱旋MCbattle東西選抜秋ノ陣2019","446560","4918","76","0","1393","2020-07-09 20:41:45"
"xRFrYZPR3W0","http://youtube.com/watch?v=xRFrYZPR3W0","2020-02-01T04:25:52Z","UCe_EvY8GrvYgx8PbwRBc75g","S-kaine.vs.言xTHEANSWER.凱旋MCbattle東西選抜冬ノ陣2020.1回戦","931181","13669","120","0","2465","2020-07-09 20:41:45"
"FJ0_9yfvBjQ","http://youtube.com/watch?v=FJ0_9yfvBjQ","2019-11-17T09:13:26Z","UCe_EvY8GrvYgx8PbwRBc75g","TERU×IMvs呂布カルマ×K.Lee【再延長】凱旋MCbattle東西選抜秋ノ陣2019","254598","3012","52","0","991","2020-07-09 20:41:45"
"Ko5JSJziqiI","http://youtube.com/watch?v=Ko5JSJziqiI","2020-03-13T06:23:12Z","UCe_EvY8GrvYgx8PbwRBc75g","MU-TON.vs.バチスタ.凱旋MCbattle東西選抜冬ノ陣2020.ベスト8","722807","8551","119","0","1561","2020-07-09 20:41:45"
"ZooEJvsdu-4","http://youtube.com/watch?v=ZooEJvsdu-4","2019-11-04T08:17:56Z","UCe_EvY8GrvYgx8PbwRBc75g","じょう vs 晋平太【再延長】凱旋MCbattle東西選抜秋ノ陣2019","465335","6475","77","0","1169","2020-07-09 20:41:45"
"ycPZzRiJtUQ","http://youtube.com/watch?v=ycPZzRiJtUQ","2019-04-27T07:09:25Z","UCe_EvY8GrvYgx8PbwRBc75g","智大 vs N0uTY.凱旋MC battle東西選抜春ノ陣2019.1回戦","752122","9500","109","0","1131","2020-07-09 20:41:45"
"av6JpMyTAEg","http://youtube.com/watch?v=av6JpMyTAEg","2019-11-13T08:52:16Z","UCe_EvY8GrvYgx8PbwRBc75g","百足xNovel Core vs Authorityxだーひー凱旋MCbattle東西選抜秋ノ陣2019","966091","9366","158","0","1114","2020-07-09 20:41:45"
"zHjeXyYYynU","http://youtube.com/watch?v=zHjeXyYYynU","2019-11-15T05:16:42Z","UCe_EvY8GrvYgx8PbwRBc75g","Novel Core vs だーひー【延長戦】凱旋MCbattle東西選抜秋ノ陣2019","1012130","11844","159","0","1498","2020-07-09 20:41:45"
"Woe3dnz9VLM","http://youtube.com/watch?v=Woe3dnz9VLM","2019-05-17T07:16:15Z","UCe_EvY8GrvYgx8PbwRBc75g","百足 vs MC☆ニガリa.k.a.赤い稲妻.凱旋MC battle東西選抜春ノ陣2019.ベスト16","1426842","15368","210","0","1406","2020-07-09 20:41:45"
"wH_gx5xctmk","http://youtube.com/watch?v=wH_gx5xctmk","2020-02-04T07:28:56Z","UCe_EvY8GrvYgx8PbwRBc75g","梵頭vs影賭.凱旋MCbattle東西選抜冬ノ陣2020.1回戦","307225","4493","54","0","863","2020-07-09 20:41:45"
"Js-wYLNhmyU","http://youtube.com/watch?v=Js-wYLNhmyU","2019-09-07T07:45:44Z","UCe_EvY8GrvYgx8PbwRBc75g","呂布カルマ vs ScoobyJ.凱旋MC battle東西選抜夏ノ陣2019.ベスト16","414008","5251","100","0","1148","2020-07-09 20:41:45"
"rpjb1LrVbxM","http://youtube.com/watch?v=rpjb1LrVbxM","2019-08-20T12:27:34Z","UCe_EvY8GrvYgx8PbwRBc75g","HARDY.vs.TERA_Z.凱旋MC battle東西選抜夏ノ陣2019.1回戦","575706","7751","103","0","1731","2020-07-09 20:41:45"
"K4muiUVbxYU","http://youtube.com/watch?v=K4muiUVbxYU","2019-08-27T12:26:19Z","UCe_EvY8GrvYgx8PbwRBc75g","八咫烏.vs.DARK.凱旋MC battle東西選抜夏ノ陣2019.シード戦","699446","7896","96","0","1190","2020-07-09 20:41:45"
"No1qz2ErB7k","http://youtube.com/watch?v=No1qz2ErB7k","2020-03-14T05:30:16Z","UCe_EvY8GrvYgx8PbwRBc75g","呂布カルマvsT-TANGG.凱旋MCbattle東西選抜冬ノ陣2020.ベスト8","914207","10267","166","0","1554","2020-07-09 20:41:46"
"tNsrhriFwDk","http://youtube.com/watch?v=tNsrhriFwDk","2019-05-07T09:56:27Z","UCe_EvY8GrvYgx8PbwRBc75g","じょう vs K'ill.【延長】凱旋MC battle東西選抜春ノ陣2019.シード戦","444565","4502","95","0","1414","2020-07-09 20:41:46"
"61yjw4eJ-2o","http://youtube.com/watch?v=61yjw4eJ-2o","2020-02-25T08:59:01Z","UCe_EvY8GrvYgx8PbwRBc75g","呂布カルマvs智大.凱旋MCbattle東西選抜冬ノ陣2020.ベスト32","339256","5150","62","0","952","2020-07-09 20:41:46"
"W4qjUirDP94","http://youtube.com/watch?v=W4qjUirDP94","2019-11-16T11:23:43Z","UCe_EvY8GrvYgx8PbwRBc75g","TERU×IM.vs.K.Lee×呂布カルマ【延長戦】凱旋MCbattle東西選抜秋ノ陣2019","350946","3450","55","0","1396","2020-07-09 20:41:46"
"uA258_iEw_M","http://youtube.com/watch?v=uA258_iEw_M","2020-03-10T07:46:31Z","UCe_EvY8GrvYgx8PbwRBc75g","ミステリオvsMCニガリa.k.a.赤い稲妻.凱旋MCbattle東西選抜冬ノ陣2020.ベスト16","268141","3713","62","0","748","2020-07-09 20:41:46"
"20y_PY7G1-0","http://youtube.com/watch?v=20y_PY7G1-0","2018-06-05T15:49:32Z","UCe_EvY8GrvYgx8PbwRBc75g","凱旋×MRJ無料イベント決勝 ミメイvsゆうま","339594","3474","71","0","656","2020-07-09 20:41:46"
"x6SwzFxU6j8","http://youtube.com/watch?v=x6SwzFxU6j8","2019-09-06T06:54:25Z","UCe_EvY8GrvYgx8PbwRBc75g","U-mallow.vs.ゆうま.凱旋MCbattle東西選抜夏ノ陣2019.ベスト16","270674","4728","75","0","566","2020-07-09 20:41:46"
"oQ6pXQUWTeE","http://youtube.com/watch?v=oQ6pXQUWTeE","2020-02-11T12:15:25Z","UCe_EvY8GrvYgx8PbwRBc75g","RAGAvsゆうま.凱旋MCbattle東西選抜冬ノ陣2020.1回戦","206690","3547","50","0","974","2020-07-09 20:41:46"
"2ff-vVhElWQ","http://youtube.com/watch?v=2ff-vVhElWQ","2019-04-26T06:55:02Z","UCe_EvY8GrvYgx8PbwRBc75g","百足 vs 藤KooS.凱旋MC battle東西選抜春ノ陣2019.1回戦","1877293","26840","338","0","1699","2020-07-09 20:41:46"
"rF09jLJmIuI","http://youtube.com/watch?v=rF09jLJmIuI","2019-08-30T08:38:10Z","UCe_EvY8GrvYgx8PbwRBc75g","Authority.vs.スターク.凱旋MC battle東西選抜夏ノ陣2019.シード戦","493740","6375","85","0","1162","2020-07-09 20:41:46"
"S7CwC9QxrDw","http://youtube.com/watch?v=S7CwC9QxrDw","2020-03-17T07:02:37Z","UCe_EvY8GrvYgx8PbwRBc75g","ACEvs呂布カルマ.凱旋MCbattle東西選抜冬ノ陣2020.ベスト4","835904","10580","148","0","1596","2020-07-09 20:41:46"
"2UV5wPG1XC4","http://youtube.com/watch?v=2UV5wPG1XC4","2020-02-17T07:39:15Z","UCe_EvY8GrvYgx8PbwRBc75g","S-kaine.vs.Authority.凱旋MCbattle東西選抜冬ノ陣2020.ベスト32","781618","11949","95","0","1835","2020-07-09 20:41:46"
"58WpxRKIOys","http://youtube.com/watch?v=58WpxRKIOys","2018-07-08T04:17:44Z","UCe_EvY8GrvYgx8PbwRBc75g","がーどまん.vs.百足.凱旋MCbattle東西選抜1回戦第十試合","323530","3054","59","0","690","2020-07-09 20:41:46"
